,iou,detect
TCGA_HT_8113_19930809_8.tif,100,All_TN
TCGA_HT_8113_19930809_9.tif,100,All_TN
TCGA_HT_8114_19981030_1.tif,0.0,Mis_detect
TCGA_HT_8114_19981030_10.tif,55.2901023890785,Detect
TCGA_HT_8114_19981030_11.tif,81.54425612052731,Detect
TCGA_HT_8114_19981030_12.tif,90.26081214922417,Detect
TCGA_HT_8114_19981030_13.tif,86.77443056576047,Detect
TCGA_HT_8114_19981030_14.tif,94.60367218987909,Detect
TCGA_HT_8114_19981030_15.tif,92.23966393986292,Detect
TCGA_HT_8114_19981030_16.tif,93.37081283672991,Detect
TCGA_HT_8114_19981030_17.tif,93.64089775561098,Detect
TCGA_HT_8114_19981030_18.tif,93.86594853381209,Detect
TCGA_HT_8114_19981030_19.tif,92.42973708068904,Detect
TCGA_HT_8114_19981030_2.tif,100,All_TN
TCGA_HT_8114_19981030_20.tif,77.32181425485962,Detect
TCGA_HT_8114_19981030_21.tif,100,All_TN
TCGA_HT_8114_19981030_22.tif,100,All_TN
TCGA_HT_8114_19981030_3.tif,100,All_TN
TCGA_HT_8114_19981030_4.tif,100,All_TN
TCGA_HT_8114_19981030_5.tif,100,All_TN
TCGA_HT_8114_19981030_6.tif,100,All_TN
TCGA_HT_8114_19981030_7.tif,100,All_TN
TCGA_HT_8114_19981030_8.tif,100,All_TN
TCGA_HT_8114_19981030_9.tif,100,All_TN
TCGA_HT_8563_19981209_1.tif,100,All_TN
TCGA_HT_8563_19981209_10.tif,68.25948450622647,Detect
TCGA_HT_8563_19981209_11.tif,68.96629213483146,Detect
TCGA_HT_8563_19981209_12.tif,83.04680038204394,Detect
TCGA_HT_8563_19981209_13.tif,90.40232670867668,Detect
TCGA_HT_8563_19981209_14.tif,58.26271186440678,Detect
TCGA_HT_8563_19981209_15.tif,84.91471215351812,Detect
TCGA_HT_8563_19981209_16.tif,74.10586552217453,Detect
TCGA_HT_8563_19981209_17.tif,100,All_TN
TCGA_HT_8563_19981209_18.tif,100,All_TN
TCGA_HT_8563_19981209_19.tif,100,All_TN
TCGA_HT_8563_19981209_2.tif,100,All_TN
TCGA_HT_8563_19981209_20.tif,100,All_TN
TCGA_HT_8563_19981209_21.tif,100,All_TN
TCGA_HT_8563_19981209_22.tif,100,All_TN
TCGA_HT_8563_19981209_23.tif,100,All_TN
TCGA_HT_8563_19981209_3.tif,100,All_TN
TCGA_HT_8563_19981209_4.tif,100,All_TN
TCGA_HT_8563_19981209_5.tif,100,All_TN
TCGA_HT_8563_19981209_6.tif,100,All_TN
TCGA_HT_8563_19981209_7.tif,100,All_TN
TCGA_HT_8563_19981209_8.tif,17.6853055916775,Detect
TCGA_HT_8563_19981209_9.tif,80.52395725611858,Detect
TCGA_HT_A5RC_19990831_1.tif,100,All_TN
TCGA_HT_A5RC_19990831_10.tif,100,All_TN
TCGA_HT_A5RC_19990831_11.tif,100,All_TN
TCGA_HT_A5RC_19990831_12.tif,100,All_TN
TCGA_HT_A5RC_19990831_13.tif,100,All_TN
TCGA_HT_A5RC_19990831_14.tif,100,All_TN
